Date,Benchmark,,,G20,,,G40,,,G60,,,G80,,,G100,,
07/02/2020,"160,3383697","260,3383697","2,697465386","423,9862972","523,9862972","1,885404037","425,8729611","525,8729611","2,082604713","396,884903","496,884903","2,192363853","404,4222484","504,4222484","2,35455875","425,1089117","525,1089117","2,508984163"
14/02/2020,"163,3813013","263,3813013","1,168837157","433,4168396","533,4168396","1,799768897","433,8805703","533,8805703","1,522726931","406,289871","506,289871","1,892786024","414,7083955","514,7083955","2,039193777","436,2424232","536,2424232","2,120229014"
21/02/2020,"160,386226","260,386226","-1,137163225","425,1080118","525,1080118","-1,557661323","424,0393491","524,0393491","-1,843337583","402,0354384","502,0354384","-0,840315567","409,3767767","509,3767767","-1,035852309","431,2370152","531,2370152","-0,9334226058"
28/02/2020,"132,1616263","232,1616263","-10,83951334","368,1197661","468,1197661","-10,85267115","365,8346929","465,8346929","-11,10692476","343,4497067","443,4497067","-11,66964067","347,0558765","447,0558765","-12,23473528","367,3081691","467,3081691","-12,03395928"
06/03/2020,"133,2130632","233,2130632","0,4528900477","354,9195907","454,9195907","-2,819828675","357,139554","457,139554","-1,866571776","334,5135759","434,5135759","-2,015139635","331,9059611","431,9059611","-3,388819205","352,2936303","452,2936303","-3,212984449"
13/03/2020,"104,2928778","204,2928778","-12,40075706","280,7456177","380,7456177","-16,30485354","287,9840984","387,9840984","-15,12786522","264,0718825","364,0718825","-16,21162083","257,479627","357,479627","-17,2320692","275,9580279","375,9580279","-16,87744361"
20/03/2020,"79,33124987","179,3312499","-12,21855025","251,6607584","351,6607584","-7,638921618","261,9860099","361,9860099","-6,700812896","242,4532786","342,4532786","-5,938004262","226,9771931","326,9771931","-8,532635595","246,360472","346,360472","-7,872569198"
27/03/2020,"98,53814749","198,5381475","10,71029039","273,0472612","373,0472612","6,081572166","281,8194706","381,8194706","5,479068295","261,1446419","361,1446419","5,458076902","248,9035138","348,9035138","6,70576455","271,4757748","371,4757748","7,251203538"
03/04/2020,"93,40635656","193,4063566","-2,584788362","270,7276141","370,7276141","-0,6218105161","279,1346511","379,1346511","-0,7031646385","258,9103019","358,9103019","-0,6186828602","248,2023134","348,2023134","-0,2009725819","269,6122034","369,6122034","-0,5016670067"
10/04/2020,"114,7205561","214,7205561","11,02042349","324,4476051","424,4476051","14,49042072","328,2251809","428,2251809","12,9480462","306,7561536","406,7561536","13,33086608","294,6359669","394,6359669","13,33525129","316,9805972","416,9805972","12,81570072"
17/04/2020,"119,7307559","219,7307559","2,333358245","324,9771865","424,9771865","0,1247695578","331,2521843","431,2521843","0,7068718831","309,996851","409,996851","0,7967174857","294,9612866","394,9612866","0,08243539041","317,390585","417,390585","0,09832299219"
24/04/2020,"116,5487918","216,5487918","-1,44811958","323,7830153","423,7830153","-0,2809965424","331,5059635","431,5059635","0,05884705266","312,5026354","412,5026354","0,6111716209","296,0852205","396,0852205","0,284568118","317,4650482","417,4650482","0,01784017241"
01/05/2020,"118,5494086","218,5494086","0,9238642171","333,6546481","433,6546481","2,329407372","338,1769352","438,1769352","1,545974393","319,1903187","419,1903187","1,6212462","305,7303103","405,7303103","2,435104695","326,5808819","426,5808819","2,183616027"
08/05/2020,"124,9507565","224,9507565","2,929016345","347,3023462","447,3023462","3,147135205","354,9941246","454,9941246","3,837990558","332,5067385","432,5067385","3,176700226","316,6170103","416,6170103","2,683235569","338,8534578","438,8534578","2,876963413"
15/05/2020,"119,2657795","219,2657795","-2,52720955","325,0893874","425,0893874","-4,965983074","336,7899162","436,7899162","-4,000976588","315,3876897","415,3876897","-3,958099904","296,8737766","396,8737766","-4,738940853","318,841705","418,841705","-4,560008004"
22/05/2020,"126,349222","226,349222","3,230528045","338,4989063","438,4989063","3,154517449","353,0920216","453,0920216","3,732253149","330,1312242","430,1312242","3,549343148","314,4131467","414,4131467","4,419382467","336,6361461","436,6361461","4,248488364"
29/05/2020,"134,7161524","234,7161524","3,696469697","347,0958954","447,0958954","1,960549725","363,8944552","463,8944552","2,384158865","342,8504334","442,8504334","2,957053216","326,8199699","426,8199699","2,993829539","350,6267715","450,6267715","3,20418397"
05/06/2020,"147,7971271","247,7971271","5,573103754","383,0637742","483,0637742","8,044779469","394,9531025","494,9531025","6,695196925","372,9681174","472,9681174","6,800870391","361,2212525","461,2212525","8,05990465","386,1737307","486,1737307","7,888337189"
12/06/2020,"136,7215171","236,7215171","-4,46962809","366,0929791","466,0929791","-3,513158305","375,3824623","475,3824623","-3,954039302","351,0124416","451,0124416","-4,642104825","338,381748","438,381748","-4,951962724","361,977882","461,977882","-4,976790635"
19/06/2020,"141,67752","241,67752","2,093600515","375,6010891","475,6010891","2,039959928","382,9904476","482,9904476","1,600392506","358,3259536","458,3259536","1,621576552","344,6981788","444,6981788","1,440851684","368,3434384","468,3434384","1,377892026"
26/06/2020,"136,0594667","236,0594667","-2,324607311","363,3808327","463,3808327","-2,569434066","372,1869748","472,1869748","-2,236788088","347,3196636","447,3196636","-2,401411029","332,176398","432,176398","-2,815793137","354,8144089","454,8144089","-2,888698419"
03/07/2020,"143,7922332","243,7922332","3,275770554","377,1960046","477,1960046","2,981386135","383,9531623","483,9531623","2,491849231","360,7510042","460,7510042","3,002626912","345,8911936","445,8911936","3,173425403","368,4378332","468,4378332","2,99538098"
10/07/2020,"147,5315149","247,5315149","1,533798534","377,1846797","477,1846797","-0,002373217691","386,3948095","486,3948095","0,5045213856","361,9993073","461,9993073","0,2709279174","346,191624","446,191624","0,06737751369","367,8892248","467,8892248","-0,1171144517"
17/07/2020,"151,3395865","251,3395865","1,538418896","384,1516417","484,1516417","1,460013763","395,2061483","495,2061483","1,811561026","371,8572597","471,8572597","2,13375913","355,5703379","455,5703379","2,101947548","376,7070004","476,7070004","1,884586165"
24/07/2020,"151,1246521","251,1246521","-0,08551553816","378,651312","478,651312","-1,136075813","393,6913391","493,6913391","-0,3058946673","368,5197909","468,5197909","-0,7073047477","352,5721286","452,5721286","-0,6581221494","372,053507","472,053507","-0,9761747564"
31/07/2020,"152,6538148","252,6538148","0,6089257615","372,2383697","472,2383697","-1,339794155","383,1354152","483,1354152","-2,138162666","358,0166865","458,0166865","-2,24176323","341,1933413","441,1933413","-2,514248355","359,2729642","459,2729642","-2,707435198"
07/08/2020,"158,3348335","258,3348335","2,248538659","390,1308806","490,1308806","3,788872749","402,4924999","502,4924999","4,006554703","375,4609796","475,4609796","3,808658858","357,7819169","457,7819169","3,759933355","376,7546409","476,7546409","3,806380532"
14/08/2020,"161,579804","261,579804","1,256110319","401,2070675","501,2070675","2,259842695","410,0623823","510,0623823","1,506466744","380,1076748","480,1076748","0,9773031646","364,431912","464,431912","1,452655698","384,7269593","484,7269593","1,672205725"
21/08/2020,"162,5590598","262,5590598","0,3743621583","403,4101051","503,4101051","0,4395463957","411,2900384","511,2900384","0,2406874419","378,2538623","478,2538623","-0,3861243211","361,4059818","461,4059818","-0,6515336526","379,4538758","479,4538758","-1,087846137"
28/08/2020,"169,7659048","269,7659048","2,7448472","408,9333323","508,9333323","1,097162561","417,6669617","517,6669617","1,247222285","384,729626","484,729626","1,354043158","368,3194807","468,3194807","1,498354849","387,3546066","487,3546066","1,647860451"
04/09/2020,"163,6047536","263,6047536","-2,283888027","404,7156362","504,7156362","-0,8287325338","412,4568096","512,4568096","-1,006467958","382,7488701","482,7488701","-0,4086310788","365,4248463","465,4248463","-0,6180896843","383,9846823","483,9846823","-0,6914727499"
